food,description,price,category
01. &nbsp; Miso,,1.50,soup_and_salad
02. &nbsp; Clear Soup,,1.50,soup_and_salad
03. &nbsp; Inari Soup ,"(Tofu skin, fish cake)",2.00,soup_and_salad
04. &nbsp; Green Salad,,2.75,soup_and_salad
05. &nbsp; Cucumber Salad,,3.75,soup_and_salad
06. &nbsp; Avocado Salad,,3.95,soup_and_salad
07. &nbsp; Kani Salad,,4.25,soup_and_salad
08. &nbsp; Seaweed Salad,,4.25,soup_and_salad
09. &nbsp; Mango Avocado Salad,,5.95,soup_and_salad
01. &nbsp; Spring Roll,,3.50,appetizers
02. &nbsp; Shumai ,(Filled Shrimp steamed dumplings),4.25,appetizers
03. &nbsp; Age Tofu,(Fried tofu with special sauce),4.25,appetizers
04. &nbsp; Yakitori ,(Broiled chicken on skewer),4.50,appetizers
05. &nbsp; Tonkatsu,,4.50,appetizers
06. &nbsp; Chicken Katsu ,,4.50,appetizers
07. &nbsp; Vegetables Tempura,,4.75,appetizers
08. &nbsp; Ebitori ,(Broiled shrimp on skewer) ,4.95,appetizers
09. &nbsp; Tempura,,4.95,appetizers
10. &nbsp; Golden Mussel ,,5.50,appetizers
11. &nbsp; Ebi Tempura ,,5.75,appetizers
12. &nbsp; Ebi Asparagus ,(Asparagus & shrimp with teriyaki) ,6.75,appetizers
13. &nbsp; Dynamite ,,6.95,appetizers
14. &nbsp; Soft Shell Crab ,(Deep fried soft shell crab served w/ tonkatsu sauce),6.95,appetizers
15. &nbsp; Bird Nest ,(Deep fried scallops w/ mashed avocado on the top with special sauce.),6.95,appetizers
16. &nbsp; Rock Shrimp ,,6.95,appetizers
17. &nbsp; Crispy Calamari,,8.95,appetizers
01. &nbsp; Kani Su ,(Crab stick with vinegar sauce),4.50,sushi
02. &nbsp; Tako Su,(Octopus with vinegar sauce),5.50,sushi
03. &nbsp; Sashimi ,"(Tofu skin, fish cake)",7.95,sushi
04. &nbsp; Tuna or Salmon Tartar,,7.95,sushi
05. &nbsp; Tuna Tataki Salad,,8.95,sushi
06. &nbsp; Torched Tuna ,(Deepo fried jalapeno stuffed spicy tuna and cream cheese),9.95,sushi
